cause_of_death, count
cerebr contus ,1
pulmonari arrest ,1
develop of the C program languag and the unix oper system ,1
spinal cord injuri ,1
stingray barb to the chest ,1
leptospirosi ,1
complic from a blood clot disord ,1
silver medalist in the 200m at the 1952 olymp ,1
politician and scholar ,1
gastrointestin hemorrhag ,1
head trauma from treadmil fall ,1
complic of vascular diseas ,1
boat accid ,1
complic of pneumonia from leukemia ,1
complic from prostat surgeri ,1
coronari heart diseas ,1
intern haemorrhag ,1
homicid by gunshot ,1
fall from roof ,1
pulmonari aspir ,1
hemorrhag brain stroke ,1
complic of pancreat ,1
cerebr aneurysm ,1
haitian hip hop musician ,1
complic from motor neuron diseas ,1
accident medic overdos ,1
stroke relat to acut myelogen leukemia ,1
cardiac arrest as a complic from cancer ,1
ambassador to azerbaijan ,1
complic from marfan syndrom ,1
complic from brain and lung cancer ,1
heart and respiratori complic ,1
hypotens ,1
california ,1
cancer and stroke ,1
complic of diabet and stroke ,1
complic from an infect ,1
struck by fall tree ,1
euthanis follow paddock accid ,1
ventricular fibril ,1
complic from breast cancer ,1
complic from ischem stroke ,1
respiratori problem ,1
train crash ,1
vehicular hit-and-run ,1
myeloid leukemia ,1
complic of a heart defect ,1
sarcoidosi ,1
heart infect ,1
complic of pneumonia from surgeri ,1
complic of alzheimer' diseas ,1
posterior cortic atrophi ,1
pneumonia as a complic of multipl myeloma ,1
bludgeon ,1
frontal lobe dementia ,1
digest hemorrhag ,1
auxiliari bishop of the militari servic ,1
1976 olymp silver medalist ,1
alcohol liver diseas ,1
hepat cancer ,1
nodular melanoma ,1
acut hepatit ,1
brain aneurysm ruptur ,1
heart failur and pneumonia ,1
dirt bike collis ,1
and translat ,1
2008 nfl draft prospect ,1
degen diseas ,1
report and historian ,1
colon and liver cancer ,1
gastrointestin cancer ,1
atherosclerosi ,1
complic from kidney cancer ,1
minist of domest trade and consum affair ,1
complic from colic surgeri ,1
D ,1
polycyst kidney diseas ,1
append ,1
complic from peripher vascular diseas ,1
spaceplan crash ,1
coronari arteri diseas ,1
